IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.121.207,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,4.11
47.76.251.55,443,443,true,HKG,Asia Pacific,Hong Kong,45,4.10
8.217.127.73,2052,2052,false,HKG,Asia Pacific,Hong Kong,49,3.97
47.242.36.78,8080,8080,false,HKG,Asia Pacific,Hong Kong,75,3.94
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,45,3.82
8.217.248.220,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,3.77
47.76.204.76,2052,2052,false,HKG,Asia Pacific,Hong Kong,74,3.74
47.76.203.101,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,3.71
8.218.18.132,8880,8880,false,HKG,Asia Pacific,Hong Kong,49,3.71
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,3.63
47.243.107.148,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,3.62
8.210.175.109,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,3.61
47.243.27.217,2053,2053,true,HKG,Asia Pacific,Hong Kong,103,3.61
47.242.157.96,80,80,false,HKG,Asia Pacific,Hong Kong,45,3.59
8.210.89.245,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,3.58
8.210.175.109,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,3.49
8.218.2.181,2082,2082,false,HKG,Asia Pacific,Hong Kong,73,3.44
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,3.39
8.217.147.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,77,3.38
47.242.202.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,103,3.34
8.218.136.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,74,3.32
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,3.26
47.76.222.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,3.24
47.238.6.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,110,3.03
47.242.202.230,2086,2086,false,HKG,Asia Pacific,Hong Kong,96,2.99
8.218.18.132,2095,2095,false,HKG,Asia Pacific,Hong Kong,75,2.75
47.243.107.148,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,2.75
47.76.214.139,8443,8443,true,HKG,Asia Pacific,Hong Kong,77,2.63
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,2.52
8.218.2.181,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,2.42
8.218.2.181,2052,2052,false,HKG,Asia Pacific,Hong Kong,83,2.42
47.76.192.24,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,2.39
47.238.6.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,105,1.86
47.76.203.101,80,80,false,HKG,Asia Pacific,Hong Kong,97,1.72
47.238.35.50,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,1.56
