IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.127.73,2087,2087,true,HKG,Asia Pacific,Hong Kong,112,16.64
8.217.66.3,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,16.64
47.76.49.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,16.60
47.238.40.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,115,16.54
8.210.244.38,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,16.51
8.217.145.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,101,16.44
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,16.35
8.210.174.156,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,16.19
47.242.202.230,2095,2095,false,HKG,Asia Pacific,Hong Kong,90,16.03
8.210.65.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,15.99
8.218.188.129,2095,2095,false,HKG,Asia Pacific,Hong Kong,73,15.86
47.243.206.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,77,15.82
8.210.42.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,107,15.75
47.242.59.216,2082,2082,false,HKG,Asia Pacific,Hong Kong,79,15.68
8.210.192.93,80,80,false,HKG,Asia Pacific,Hong Kong,102,15.59
47.76.192.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,128,15.58
47.242.157.96,8880,8880,false,HKG,Asia Pacific,Hong Kong,90,15.56
47.243.203.119,2086,2086,false,HKG,Asia Pacific,Hong Kong,47,15.45
8.217.207.60,2095,2095,false,HKG,Asia Pacific,Hong Kong,108,15.43
8.210.55.134,2095,2095,false,HKG,Asia Pacific,Hong Kong,102,15.41
8.218.98.75,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,15.37
8.217.250.222,80,80,false,HKG,Asia Pacific,Hong Kong,121,15.36
47.243.183.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,63,15.36
47.243.234.9,2095,2095,false,HKG,Asia Pacific,Hong Kong,88,15.26
47.76.49.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,112,15.24
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,99,15.18
47.238.35.50,2096,2096,true,HKG,Asia Pacific,Hong Kong,99,15.07
47.242.36.78,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,15.06
8.218.18.235,2052,2052,false,HKG,Asia Pacific,Hong Kong,114,15.05
8.217.85.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,66,15.00
8.218.53.110,8080,8080,false,HKG,Asia Pacific,Hong Kong,102,14.92
8.210.65.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,75,14.88
8.210.174.156,2053,2053,true,HKG,Asia Pacific,Hong Kong,104,14.87
8.210.245.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,92,14.81
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,115,14.79
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,110,14.76
8.217.147.230,2086,2086,false,HKG,Asia Pacific,Hong Kong,97,14.72
47.242.183.7,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,14.64
8.217.248.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,84,14.52
8.210.101.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,114,14.52
8.210.89.245,2083,2083,true,HKG,Asia Pacific,Hong Kong,89,14.37
8.218.181.189,2052,2052,false,HKG,Asia Pacific,Hong Kong,102,14.34
47.76.26.26,2053,2053,true,HKG,Asia Pacific,Hong Kong,102,14.33
8.210.21.65,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,14.21
