IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.96.80,2082,2082,false,SIN,Asia Pacific,Singapore,271,9.86
8.219.42.72,8080,8080,false,SIN,Asia Pacific,Singapore,89,9.74
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,109,9.70
8.219.248.47,2053,2053,true,SIN,Asia Pacific,Singapore,137,9.69
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,107,9.62
8.219.248.47,80,80,false,SIN,Asia Pacific,Singapore,140,9.58
8.222.167.147,80,80,false,SIN,Asia Pacific,Singapore,81,9.55
8.219.170.232,2095,2095,false,SIN,Asia Pacific,Singapore,132,9.52
8.219.120.87,2095,2095,false,SIN,Asia Pacific,Singapore,69,9.39
8.222.179.231,2096,2096,true,SIN,Asia Pacific,Singapore,84,9.26
8.219.198.139,2052,2052,false,SIN,Asia Pacific,Singapore,146,9.26
8.222.146.222,8080,8080,false,SIN,Asia Pacific,Singapore,98,9.25
8.219.0.162,2082,2082,false,SIN,Asia Pacific,Singapore,81,9.21
47.236.180.51,2083,2083,true,SIN,Asia Pacific,Singapore,120,9.17
8.219.60.54,2095,2095,false,SIN,Asia Pacific,Singapore,67,9.14
8.219.120.87,2086,2086,false,SIN,Asia Pacific,Singapore,70,9.09
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,97,9.04
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,93,8.90
47.236.254.120,8880,8880,false,SIN,Asia Pacific,Singapore,134,8.81
8.219.93.5,2052,2052,false,SIN,Asia Pacific,Singapore,81,8.78
8.219.1.92,2095,2095,false,SIN,Asia Pacific,Singapore,92,8.78
8.219.107.135,2082,2082,false,SIN,Asia Pacific,Singapore,62,8.78
47.237.125.8,80,80,false,SIN,Asia Pacific,Singapore,94,8.77
47.236.144.196,80,80,false,SIN,Asia Pacific,Singapore,140,8.77
47.236.118.216,2086,2086,false,SIN,Asia Pacific,Singapore,151,8.69
8.222.146.222,2083,2083,true,SIN,Asia Pacific,Singapore,82,8.52
8.219.237.250,2083,2083,true,SIN,Asia Pacific,Singapore,126,8.49
8.219.110.81,2082,2082,false,SIN,Asia Pacific,Singapore,74,8.49
8.219.78.188,80,80,false,SIN,Asia Pacific,Singapore,71,8.48
47.236.171.205,80,80,false,SIN,Asia Pacific,Singapore,139,8.48
8.219.111.147,80,80,false,SIN,Asia Pacific,Singapore,99,8.45
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,281,8.40
8.222.191.138,2052,2052,false,SIN,Asia Pacific,Singapore,96,8.38
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,66,8.34
8.219.198.139,80,80,false,SIN,Asia Pacific,Singapore,124,8.31
8.222.249.190,2095,2095,false,SIN,Asia Pacific,Singapore,90,8.30
8.222.184.198,2086,2086,false,SIN,Asia Pacific,Singapore,74,8.28
47.237.125.8,8443,8443,true,SIN,Asia Pacific,Singapore,77,8.19
8.219.50.180,8880,8880,false,SIN,Asia Pacific,Singapore,93,8.17
8.222.193.65,8443,8443,true,SIN,Asia Pacific,Singapore,82,8.15
8.222.137.192,8080,8080,false,SIN,Asia Pacific,Singapore,81,8.09
8.222.193.65,2052,2052,false,SIN,Asia Pacific,Singapore,96,7.95
8.222.169.222,8880,8880,false,SIN,Asia Pacific,Singapore,87,7.94
8.222.181.117,8443,8443,true,SIN,Asia Pacific,Singapore,102,7.92
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,66,7.87
8.222.184.198,80,80,false,SIN,Asia Pacific,Singapore,81,7.80
47.245.96.80,2083,2083,true,SIN,Asia Pacific,Singapore,260,7.80
8.219.83.71,2096,2096,true,SIN,Asia Pacific,Singapore,82,7.77
8.219.0.162,443,443,true,SIN,Asia Pacific,Singapore,80,7.77
8.222.183.242,2087,2087,true,SIN,Asia Pacific,Singapore,89,7.72
47.236.171.205,2086,2086,false,SIN,Asia Pacific,Singapore,143,7.71
47.236.146.249,2095,2095,false,SIN,Asia Pacific,Singapore,127,7.70
8.219.0.162,80,80,false,SIN,Asia Pacific,Singapore,92,7.70
47.236.5.223,2052,2052,false,SIN,Asia Pacific,Singapore,152,7.68
8.219.86.200,2052,2052,false,SIN,Asia Pacific,Singapore,72,7.62
8.219.83.71,80,80,false,SIN,Asia Pacific,Singapore,87,7.61
47.236.164.215,2086,2086,false,SIN,Asia Pacific,Singapore,133,7.58
47.236.75.152,2086,2086,false,SIN,Asia Pacific,Singapore,145,7.55
47.236.172.95,2082,2082,false,SIN,Asia Pacific,Singapore,109,7.53
8.219.40.37,2096,2096,true,SIN,Asia Pacific,Singapore,90,7.50
8.222.215.228,2086,2086,false,SIN,Asia Pacific,Singapore,85,7.48
8.222.136.247,8080,8080,false,SIN,Asia Pacific,Singapore,77,7.45
8.219.122.55,80,80,false,SIN,Asia Pacific,Singapore,86,7.44
8.219.120.87,2052,2052,false,SIN,Asia Pacific,Singapore,91,7.40
47.245.84.124,2052,2052,false,SIN,Asia Pacific,Singapore,226,7.39
8.219.122.55,8880,8880,false,SIN,Asia Pacific,Singapore,103,7.38
8.219.126.240,2082,2082,false,SIN,Asia Pacific,Singapore,101,7.34
8.219.170.232,8880,8880,false,SIN,Asia Pacific,Singapore,140,7.33
8.219.163.195,2082,2082,false,SIN,Asia Pacific,Singapore,120,7.29
8.219.170.232,8080,8080,false,SIN,Asia Pacific,Singapore,133,7.23
8.219.153.237,2095,2095,false,SIN,Asia Pacific,Singapore,151,7.23
8.219.98.13,2082,2082,false,SIN,Asia Pacific,Singapore,108,7.16
8.219.11.158,2087,2087,true,SIN,Asia Pacific,Singapore,89,7.15
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,93,7.11
47.245.84.124,2086,2086,false,SIN,Asia Pacific,Singapore,255,7.09
47.236.5.223,2086,2086,false,SIN,Asia Pacific,Singapore,142,7.05
8.219.1.92,2083,2083,true,SIN,Asia Pacific,Singapore,88,7.04
8.219.111.147,2087,2087,true,SIN,Asia Pacific,Singapore,82,7.04
47.237.95.146,2052,2052,false,SIN,Asia Pacific,Singapore,69,7.03
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,115,6.98
8.219.122.55,2096,2096,true,SIN,Asia Pacific,Singapore,88,6.93
8.219.122.55,2052,2052,false,SIN,Asia Pacific,Singapore,93,6.91
8.222.208.38,2053,2053,true,SIN,Asia Pacific,Singapore,81,6.86
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,142,6.84
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,129,6.79
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,94,6.78
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,155,6.73
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,144,6.72
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,143,6.65
8.219.0.48,2086,2086,false,SIN,Asia Pacific,Singapore,99,6.64
47.236.75.113,8880,8880,false,SIN,Asia Pacific,Singapore,145,6.64
8.219.6.150,8080,8080,false,SIN,Asia Pacific,Singapore,88,6.59
47.237.83.20,2095,2095,false,SIN,Asia Pacific,Singapore,82,6.52
8.222.191.138,2095,2095,false,SIN,Asia Pacific,Singapore,91,6.51
8.219.177.205,2087,2087,true,SIN,Asia Pacific,Singapore,126,6.50
8.219.248.47,2082,2082,false,SIN,Asia Pacific,Singapore,126,6.49
8.222.169.222,80,80,false,SIN,Asia Pacific,Singapore,109,6.39
8.222.215.228,8080,8080,false,SIN,Asia Pacific,Singapore,89,6.37
8.222.136.247,2082,2082,false,SIN,Asia Pacific,Singapore,95,6.36
8.219.111.147,2086,2086,false,SIN,Asia Pacific,Singapore,88,6.36
8.222.181.117,80,80,false,SIN,Asia Pacific,Singapore,92,6.31
47.236.180.51,80,80,false,SIN,Asia Pacific,Singapore,136,6.29
